tic_name            period       e_period     first_eclipse
tic00260304277     1.0251930     0.0000174     3356.543084
tic00260271203     5.6493622     0.0001546     3358.328072
tic00260269456    10.7963673     0.0000094     3360.705367
tic00260239481     4.1933587     0.0000590     3363.324190
tic00260239131     0.3237000     0.0002000     3438.547000
tic00260192157     4.3713049     0.0001509     3360.641177
tic00260161144     2.2341736     0.0000058     3354.373069
tic00260132330    17.2987809     0.0000481     3400.253688
tic00260131665     1.6725374     0.0000197     3354.646629
tic00260043515     1.7407671     0.0000025     3355.992237
tic00260003467     2.6046380     0.0003450     3355.567162
tic00259701724     3.9718459     0.0000251     3389.340797
tic00259589049     9.9682164     0.0000115     3392.132427
tic00259589045     4.9841024     0.0000590     3387.148642
tic00259574789    10.1427340     0.0000149     3391.051502
tic00255784072     6.4044156     0.0000267     3444.530437
tic00255744818     3.0473078     0.0000990     3439.611825
tic00255702945     1.7371695     0.0000053     3438.687399
tic00255700967     6.8512568     0.0000300     3443.167967
tic00255700958     6.8394000     0.0104000     3470.574000
tic00255641111    11.6887000     0.1114000     3441.929000
tic00255638986     4.1864046     0.0000196     3355.487217
tic00255619508    19.7014000     0.0508000     3452.924000
tic00255616224     2.1406069     0.0000047     3355.268760
